City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talnakh,RU,69.4865,88.3972,-8.59,99,89,4.32,overcast clouds
1,Port Elizabeth,ZA,-33.918,25.5701,63.32,82,79,1.99,broken clouds
2,Cabo San Lucas,MX,22.8909,-109.9124,67.51,80,25,5.55,scattered clouds
3,Qaanaaq,GL,77.484,-69.3632,-0.36,64,95,6.87,overcast clouds
4,Nerchinskiy Zavod,RU,51.3088,119.61,-7.2,94,76,3.15,broken clouds
5,Bima,ID,-8.4667,118.7167,85.91,76,97,3.09,overcast clouds
6,Marawi,PH,7.9986,124.2928,71.78,89,100,3.91,moderate rain
7,Busselton,AU,-33.65,115.3333,83.01,34,75,0.98,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,79.47,67,19,11.21,few clouds
9,Ushuaia,AR,-54.8,-68.3,46.22,85,51,7.34,broken clouds
10,Coihaique,CL,-45.5752,-72.0662,59.61,88,0,3.44,clear sky
11,Graaff-Reinet,ZA,-32.2522,24.5308,53.92,91,100,13.13,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,12.66,light snow
13,Kununurra,AU,-15.7667,128.7333,93.18,49,100,8.05,overcast clouds
14,Margate,GB,51.3813,1.3862,39.87,79,100,1.99,overcast clouds
15,Agirish,RU,61.9247,63.0231,16.48,94,90,9.51,light snow
16,Avarua,CK,-21.2078,-159.775,82.45,78,40,9.22,scattered clouds
17,College,US,64.8569,-147.8028,17.55,85,75,5.75,light snow
18,Broome,US,42.2506,-75.833,33.8,74,100,3.44,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,55.11,71,40,8.05,scattered clouds
20,Vardo,NO,70.3705,31.1107,26.98,80,13,14.74,few clouds
21,Rieti,IT,42.4072,12.8592,38.66,87,14,5.5,few clouds
22,Yellowknife,CA,62.456,-114.3525,-13.45,75,10,11.99,clear sky
23,Mizdah,LY,31.4451,12.9801,39.31,50,0,3.36,clear sky
24,Kapaa,US,22.0752,-159.319,73.72,71,0,18.41,clear sky
25,Tervel,BG,43.75,27.4,30.24,97,100,11.05,light snow
26,Ostersund,SE,63.1792,14.6357,32.61,80,75,6.91,broken clouds
27,Hermanus,ZA,-34.4187,19.2345,60.8,64,96,19.06,overcast clouds
28,Georgetown,MY,5.4112,100.3354,85.93,70,20,0.0,few clouds
29,Kinango,KE,-4.1372,39.3153,69.62,91,11,3.42,few clouds
30,Hithadhoo,MV,-0.6,73.0833,81.18,77,11,11.88,few clouds
31,New Norfolk,AU,-42.7826,147.0587,75.9,30,0,3.0,clear sky
32,Abaete,BR,-19.16,-45.4458,68.94,94,100,4.25,overcast clouds
33,Khatanga,RU,71.9667,102.5,-34.46,99,97,5.46,overcast clouds
34,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,79,75,8.05,broken clouds
35,Butaritari,KI,3.0707,172.7902,81.21,81,4,22.03,clear sky
36,Dikson,RU,73.5069,80.5464,-7.26,96,99,7.18,overcast clouds
37,Naze,JP,28.3667,129.4833,53.56,63,87,12.55,overcast clouds
38,Novikovo,RU,51.1537,37.8879,19.09,93,72,4.9,broken clouds
39,Faya,SA,18.3851,42.4509,43.32,83,1,0.87,clear sky
40,Puerto Ayora,EC,-0.7393,-90.3518,75.54,98,62,4.85,light rain
41,Pangnirtung,CA,66.1451,-65.7125,-35.93,83,16,7.0,few clouds
42,Codrington,AU,-38.2667,141.9667,66.67,60,84,11.99,broken clouds
43,Bredasdorp,ZA,-34.5322,20.0403,63.37,51,99,12.08,overcast clouds
44,Tucuman,AR,-26.8241,-65.2226,72.28,90,99,1.66,overcast clouds
45,Mazatlan,MX,23.2167,-106.4167,70.92,85,100,1.99,overcast clouds
46,Nam Dinh,VN,20.4167,106.1667,63.75,22,1,6.44,clear sky
47,Udachnyy,RU,66.4167,112.4,-38.07,100,73,2.75,broken clouds
48,Atuona,PF,-9.8,-139.0333,79.0,78,38,19.1,scattered clouds
49,Isangel,VU,-19.55,169.2667,84.51,70,86,2.19,overcast clouds
50,Hasaki,JP,35.7333,140.8333,45.0,33,41,4.05,scattered clouds
51,Srednekolymsk,RU,67.45,153.6833,-29.85,99,37,4.47,scattered clouds
52,Hobart,AU,-42.8794,147.3294,76.26,49,20,13.8,few clouds
53,Grand-Bourg,GP,15.8835,-61.3148,71.55,69,22,11.5,few clouds
54,Wajima,JP,37.4,136.9,36.1,72,100,10.45,overcast clouds
55,Albany,US,42.6001,-73.9662,30.22,81,95,1.88,overcast clouds
56,Ndele,CF,8.4109,20.6473,70.57,20,30,4.07,scattered clouds
57,Saldanha,ZA,-33.0117,17.9442,59.92,74,8,14.16,clear sky
58,Tezu,IN,27.9167,96.1667,78.06,22,1,3.33,clear sky
59,Cherskiy,RU,68.75,161.3,-25.06,99,86,3.18,overcast clouds
60,Sao Sebastiao,BR,-23.76,-45.4097,75.43,91,100,3.29,overcast clouds
61,Constitucion,CL,-35.3333,-72.4167,60.75,68,0,10.07,clear sky
62,Kamalapuram,IN,14.5833,78.65,74.88,63,55,5.64,broken clouds
63,Carnarvon,AU,-24.8667,113.6333,79.25,68,7,15.86,clear sky
64,Kruisfontein,ZA,-34.0033,24.7314,58.89,81,31,3.89,light rain
65,Kiruna,SE,67.8557,20.2251,7.57,93,62,6.42,broken clouds
66,Mataura,NZ,-46.1927,168.8643,80.67,28,1,6.69,clear sky
67,Terrace,CA,54.5163,-128.6035,20.41,82,4,4.12,clear sky
68,Ginda,IN,30.6945,78.4932,55.85,17,100,1.86,overcast clouds
69,Camacha,PT,33.0833,-16.3333,53.02,71,40,11.5,light intensity shower rain
70,Sangar,RU,63.9242,127.4739,-40.59,94,68,2.21,broken clouds
71,Safaga,EG,26.7292,33.9365,69.89,58,7,5.26,clear sky
72,Kalofer,BG,42.6167,24.9833,29.03,87,100,1.41,overcast clouds
73,Fenoarivo,MG,-18.933,47.4354,64.47,100,75,4.61,broken clouds
74,Jamestown,US,42.097,-79.2353,31.64,84,100,6.91,overcast clouds
75,Souillac,MU,-20.5167,57.5167,80.31,80,96,4.45,overcast clouds
76,Bethel,US,41.3712,-73.414,44.96,60,0,0.0,clear sky
77,Drymen,GB,56.0655,-4.452,43.92,90,100,8.59,overcast clouds
78,Vila,PT,42.0304,-8.1588,29.28,87,13,4.68,few clouds
79,East London,ZA,-33.0153,27.9116,65.71,74,100,14.9,light rain
80,Fortuna,US,40.5982,-124.1573,45.66,89,100,10.2,overcast clouds
