City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Petropavlovsk-Kamchatskiy,53.0452,158.6483,14.59,57,75,15.66,RU,2023-01-19 06:21:16
1,Ylivieska,64.0833,24.55,30.88,89,100,2.71,FI,2023-01-19 06:21:17
2,Bathsheba,13.2167,-59.5167,77.61,78,40,19.57,BB,2023-01-19 06:21:18
3,Champerico,14.3,-91.9167,74.7,73,44,5.95,GT,2023-01-19 06:21:18
4,Ossora,59.2353,163.0719,-2.38,84,100,8.3,RU,2023-01-19 06:21:19
5,Bredasdorp,-34.5322,20.0403,72.82,66,6,9.08,ZA,2023-01-19 06:17:30
6,Port Macquarie,-31.4333,152.9167,72.9,90,98,13.76,AU,2023-01-19 06:21:20
7,Ushuaia,-54.8,-68.3,49.66,81,0,5.75,AR,2023-01-19 06:20:10
8,Avarua,-21.2078,-159.775,77.05,94,40,8.05,CK,2023-01-19 06:21:21
9,Lompoc,34.6391,-120.4579,44.53,92,40,3.44,US,2023-01-19 06:21:21
10,Sao Filipe,14.8961,-24.4956,74.77,63,7,13.62,CV,2023-01-19 06:21:22
11,San Patricio,28.017,-97.5169,66.83,67,53,5.77,US,2023-01-19 06:21:23
12,Atar,20.5169,-13.0499,59.95,43,0,8.79,MR,2023-01-19 06:21:24
13,Castro,-24.7911,-50.0119,61.36,99,100,3.02,BR,2023-01-19 06:21:26
14,Hilo,19.7297,-155.09,72.25,100,100,3.44,US,2023-01-19 06:21:27
15,Torbay,47.6666,-52.7314,38.57,96,100,13.0,CA,2023-01-19 06:21:28
16,Dikson,73.5069,80.5464,-22.49,81,100,4.09,RU,2023-01-19 06:21:29
17,Port Alfred,-33.5906,26.891,81.18,74,96,3.0,ZA,2023-01-19 06:21:30
18,Bethel,41.3712,-73.414,41.49,80,0,1.01,US,2023-01-19 06:21:31
19,Tashtyp,52.7939,89.8983,18.07,90,100,5.68,RU,2023-01-19 06:21:32
20,Rikitea,-23.1203,-134.9692,77.83,69,100,1.21,PF,2023-01-19 06:17:02
21,Arraial Do Cabo,-22.9661,-42.0278,73.4,91,71,13.87,BR,2023-01-19 06:21:35
22,Cape Town,-33.9258,18.4232,73.38,80,40,5.75,ZA,2023-01-19 06:20:01
23,Bambous Virieux,-20.3428,57.7575,82.22,94,75,12.66,MU,2023-01-19 06:21:37
24,Areia Branca,-4.9561,-37.1369,76.86,79,40,10.02,BR,2023-01-19 06:21:38
25,Pangnirtung,66.1451,-65.7125,-18.9,63,5,5.06,CA,2023-01-19 06:21:39
26,Barrow,71.2906,-156.7887,-3.98,77,100,19.57,US,2023-01-19 06:21:40
27,Vaini,-21.2,-175.2,84.36,79,75,5.75,TO,2023-01-19 06:21:41
28,Klaksvik,62.2266,-6.589,38.32,81,100,32.17,FO,2023-01-19 06:21:42
29,Albany,42.6001,-73.9662,38.68,84,99,1.99,US,2023-01-19 06:21:03
30,Hermanus,-34.4187,19.2345,70.81,85,22,8.75,ZA,2023-01-19 06:21:45
31,Saldanha,-33.0117,17.9442,68.05,86,84,5.28,ZA,2023-01-19 06:21:46
32,Chirongui,-12.9319,45.1483,85.93,75,100,14.23,YT,2023-01-19 06:21:47
33,Gonzalez,30.5816,-87.2914,71.44,92,100,12.66,US,2023-01-19 06:20:12
34,Sao Felix Do Xingu,-6.6447,-51.995,69.69,99,100,0.65,BR,2023-01-19 06:21:20
35,Warri,5.5167,5.75,75.78,90,70,2.59,NG,2023-01-19 06:21:50
36,Saskylakh,71.9167,114.0833,-40.34,100,57,2.68,RU,2023-01-19 06:21:51
37,Pangody,65.85,74.4859,-0.11,97,100,5.99,RU,2023-01-19 06:21:52
38,Laredo,27.5064,-99.5075,55.69,47,0,0.0,US,2023-01-19 06:19:20
39,Akureyri,65.6835,-18.0878,24.73,80,100,5.75,IS,2023-01-19 06:21:55
